t (s);p(0) (bar); p(L) (bar);v(0) m/s; v(L) (m/s);T(0) (C); T(L) (C);rho(0) (kg/m3); rho(L) (kg/m3);mp(0) (kg/s), mp(L) (kg/s)
6.709804e-02; 1.100000e+00; 1.084820e+00; 9.734183e+00; 1.327681e+01; 2.930000e+02; 2.922292e+02; 1.308107e+00; 1.293457e+00; 1.000075e-01; 1.348763e-01
6.771805e-02; 1.100000e+00; 1.085823e+00; 9.724484e+00; 1.307360e+01; 2.930000e+02; 2.925258e+02; 1.308107e+00; 1.293341e+00; 9.990785e-02; 1.328000e-01
6.833752e-02; 1.100000e+00; 1.086496e+00; 9.714775e+00; 1.291363e+01; 2.930000e+02; 2.927245e+02; 1.308107e+00; 1.293263e+00; 9.980810e-02; 1.311672e-01
6.895657e-02; 1.100000e+00; 1.086804e+00; 9.705060e+00; 1.282043e+01; 2.930000e+02; 2.928172e+02; 1.308107e+00; 1.293222e+00; 9.970829e-02; 1.302164e-01
6.957521e-02; 1.100000e+00; 1.086821e+00; 9.695339e+00; 1.279280e+01; 2.930000e+02; 2.928248e+02; 1.308107e+00; 1.293207e+00; 9.960842e-02; 1.299343e-01
7.019364e-02; 1.100000e+00; 1.086668e+00; 9.685608e+00; 1.281047e+01; 2.930000e+02; 2.927831e+02; 1.308107e+00; 1.293210e+00; 9.950844e-02; 1.301139e-01
7.081190e-02; 1.100000e+00; 1.086470e+00; 9.675865e+00; 1.284550e+01; 2.930000e+02; 2.927275e+02; 1.308107e+00; 1.293219e+00; 9.940835e-02; 1.304708e-01
7.143011e-02; 1.100000e+00; 1.086318e+00; 9.666109e+00; 1.287337e+01; 2.930000e+02; 2.926845e+02; 1.308107e+00; 1.293229e+00; 9.930812e-02; 1.307548e-01
7.204836e-02; 1.100000e+00; 1.086261e+00; 9.656339e+00; 1.287968e+01; 2.930000e+02; 2.926673e+02; 1.308107e+00; 1.293237e+00; 9.920774e-02; 1.308197e-01
7.266672e-02; 1.100000e+00; 1.086301e+00; 9.646554e+00; 1.286170e+01; 2.930000e+02; 2.926770e+02; 1.308107e+00; 1.293241e+00; 9.910721e-02; 1.306375e-01
7.328519e-02; 1.100000e+00; 1.086413e+00; 9.636755e+00; 1.282550e+01; 2.930000e+02; 2.927061e+02; 1.308107e+00; 1.293246e+00; 9.900653e-02; 1.302702e-01
7.390382e-02; 1.100000e+00; 1.086558e+00; 9.626941e+00; 1.278109e+01; 2.930000e+02; 2.927436e+02; 1.308107e+00; 1.293253e+00; 9.890571e-02; 1.298199e-01
7.452262e-02; 1.100000e+00; 1.086701e+00; 9.617113e+00; 1.273770e+01; 2.930000e+02; 2.927791e+02; 1.308107e+00; 1.293267e+00; 9.880473e-02; 1.293805e-01
7.514161e-02; 1.100000e+00; 1.086819e+00; 9.607271e+00; 1.270085e+01; 2.930000e+02; 2.928062e+02; 1.308107e+00; 1.293287e+00; 9.870362e-02; 1.290083e-01
7.576078e-02; 1.100000e+00; 1.086906e+00; 9.597416e+00; 1.267173e+01; 2.930000e+02; 2.928233e+02; 1.308107e+00; 1.293315e+00; 9.860237e-02; 1.287153e-01
7.638013e-02; 1.100000e+00; 1.086968e+00; 9.587548e+00; 1.264839e+01; 2.930000e+02; 2.928323e+02; 1.308107e+00; 1.293349e+00; 9.850099e-02; 1.284815e-01
7.699966e-02; 1.100000e+00; 1.087017e+00; 9.577669e+00; 1.262762e+01; 2.930000e+02; 2.928369e+02; 1.308107e+00; 1.293388e+00; 9.839950e-02; 1.282745e-01
7.761938e-02; 1.100000e+00; 1.087067e+00; 9.567779e+00; 1.260664e+01; 2.930000e+02; 2.928404e+02; 1.308107e+00; 1.293431e+00; 9.829789e-02; 1.280656e-01
7.823928e-02; 1.100000e+00; 1.087122e+00; 9.557879e+00; 1.258394e+01; 2.930000e+02; 2.928448e+02; 1.308107e+00; 1.293477e+00; 9.819617e-02; 1.278396e-01
7.885937e-02; 1.100000e+00; 1.087185e+00; 9.547969e+00; 1.255935e+01; 2.930000e+02; 2.928507e+02; 1.308107e+00; 1.293527e+00; 9.809436e-02; 1.275947e-01
7.947964e-02; 1.100000e+00; 1.087253e+00; 9.538049e+00; 1.253356e+01; 2.930000e+02; 2.928572e+02; 1.308107e+00; 1.293579e+00; 9.799244e-02; 1.273378e-01
