t (s); x (mm); v (m/s); mdot (kg/s)
2.094186e-01; 9.998035e+00; -4.161194e-04; +2.824304e+01
2.101509e-01; 9.997779e+00; -2.828021e-04; +2.824232e+01
2.108831e-01; 9.997621e+00; -1.497666e-04; +2.824187e+01
2.116153e-01; 9.997559e+00; -1.906409e-05; +2.824170e+01
2.123476e-01; 9.997592e+00; +1.073621e-04; +2.824179e+01
2.130798e-01; 9.997715e+00; +2.277028e-04; +2.824214e+01
2.138120e-01; 9.997923e+00; +3.403064e-04; +2.824273e+01
2.145443e-01; 9.998211e+00; +4.436990e-04; +2.824354e+01
2.152765e-01; 9.998571e+00; +5.366008e-04; +2.824455e+01
2.160087e-01; 9.998994e+00; +6.179393e-04; +2.824575e+01
2.167410e-01; 9.999473e+00; +6.868589e-04; +2.824710e+01
2.174732e-01; 9.999997e+00; +7.427260e-04; +2.824858e+01
2.182054e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.189377e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.196699e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.204021e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.211344e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.218666e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.225988e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.233311e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.240633e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.247955e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.255278e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.262600e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.269922e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.277245e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.284567e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.291889e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.299212e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.306534e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.313856e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.321179e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.328501e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.335823e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.343146e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.350468e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.357790e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.365113e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.372435e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.379757e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.387080e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.394402e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.401724e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.409047e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.416369e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.423691e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.431014e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.438336e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.445658e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.452981e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.460303e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.467625e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.474947e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.482270e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.489592e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.496914e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.504237e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.511559e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.518881e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.526204e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.533526e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.540848e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.548171e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.555493e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.562815e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.570138e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.577460e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.584782e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.592105e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.599427e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.606749e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.614072e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.621394e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.628716e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.636039e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.643361e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.650683e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.658006e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.665328e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.672650e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.679973e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.687295e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.694617e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.701940e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.709262e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.716584e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.723907e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.731229e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.738551e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.745874e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.753196e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.760518e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.767841e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.775163e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.782485e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.789808e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.797130e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.804452e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.811775e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.819097e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.826419e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.833742e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.841064e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.848386e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.855709e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.863031e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.870353e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.877676e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.884998e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.892320e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
2.899643e-01; 1.000000e+01; +0.000000e+00; +2.824859e+01
